,album,album,album,album,album,album,album,album,album,album,album,album,album,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,set,set,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track
,comments,date_created,date_released,engineer,favorites,id,information,listens,producer,tags,title,tracks,type,active_year_begin,active_year_end,associated_labels,bio,comments,date_created,favorites,id,latitude,location,longitude,members,name,related_projects,tags,website,wikipedia_page,split,subset,bit_rate,comments,composer,date_created,date_recorded,duration,favorites,genre_top,genres,genres_all,information,interest,language_code,license,listens,lyricist,number,publisher,tags,title
track_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100544,0,2014-03-06 07:13:48,2006-11-01 00:00:00,,1,16114,"<p>Short album by moldovan artist, dj and journalist <a href=""http://www.myspace.com/httpwwwmegatonecom"">megatone</a>. minimal and mystical are the key words to describe it.</p>",29625,,[],First Space Voyage,11,Album,,,,,0,2013-10-09 09:28:24,8,17128,,Moldavia,,Marcel Gherman,Megatone,,['megatone'],http://marcelgherman.blogspot.fi/,,training,small,128000,0,,2014-03-06 07:10:48,,200,0,Electronic,"[15, 42, 184]","[184, 42, 15]",,5432,,Attribution-NonCommercial-ShareAlike 3.0 International,4752,,3,,[],Electron
100745,1,2014-01-27 13:47:52,,,4,15889,,51082,,[],Weeklybeats 2014,17,Album,2010-01-01 00:00:00,,EINDBAAS,"<p>Music made mostely on Gameboy. Sometimes I do other stuff....Contact: <a href=""mailto:roccowchiptune@gmail.com"" target=""_blank"">roccowchiptune@gmail.com</a>FOR MORE TRACKS, CHECK HERE: <a title=""Soundcloud"" href=""http://www.soundcloud.com/roccow"" target=""_blank"">www.soundcloud.com/roccow</a></p>
<p> </p>",2,2011-03-28 11:25:44,57,10484,52.152355,The Netherlands,5.29297,RoccoW,RoccoW,EINDBAAS,"['roccow', 'gameboy', 'chip music', 'ds', '8bit', 'chiptune', 'lsdj', 'chipmusic']",https://twitter.com/RoccoWNL,,training,small,320000,0,,2014-03-10 10:55:58,,125,15,Electronic,"[240, 297]","[240, 297, 15]",,8512,,Attribution-ShareAlike,7167,,10,,[],Weeklybeats 2014 #10 - Trap'd in A DS
100958,3,2014-03-11 15:58:48,2014-03-11 00:00:00,,1,16141,"<p><strong>Want high-resolution album art, liner-notes or lossless FLAC audio? <a href=""http://www.blocsonic.com/releases/show/the-black-holocaust"">Check out the blocSonic release page</a>!</strong></p>
<p>Ladies and gentlemen, I’d like to present to you <em>The Black Holocaust</em>, the incredible debut album by Pittsburgh artist, <a href=""http://www.blocsonic.com/artist/dj-def-chad""><strong>DJ Def Chad</strong></a>.</p>
<p>This may be DJ Def Chad’s debut album, however he’s not new to this hip-hop thing. He began his musical journey back in Homewood, PA and released music as part of groups along the way. In the mid-80’s he joined up with <strong>Tuffy Tuf</strong> and split DJ duties with <strong>DJ Nick Nice</strong>. They toured, opened for the likes of <strong>De La Soul</strong>, <strong>Eric B & Rakim</strong>, <strong>Shabba Ranks</strong> & <strong>Fu-Schnickens</strong> and eventually released an EP called <em>Strictly 4 De Boomin System</em> through Pittsburgh label <strong>Unity Records</strong>. They disbanded shortly thereafter.</p>
<p>Later, Chad formed his company <strong>TeePee Records</strong> and eventually started a group with him trying his hand at rhyming, <strong>PGB (Poets Gettin By)</strong>. In 2001 they independently released <em>Ice Burgh</em>. That led to him meeting <a href=""http://www.blocsonic.com/artist/cdoc""><strong>C-Doc</strong></a> who invited him to join <a href=""http://www.blocsonic.com/artist/the-impossebulls""><strong>The Impossebulls</strong></a>, the <em>world’s first virtual rapp squad</em>, who you’ve gotten to know here at <strong>blocSonic</strong>.</p>
<p>After guest appearances on C-Doc’s <em>Divided We Stand</em> he was inspired to use his life experiences to bring you his own brand of hip-hop… or “Grown Folks Music”. A gift to you and anyone who cares to listen from an aging B-Boy that will never slow down.</p>
<p>It’s a pleasure for me to bring to you an album that, in a less artificially manipulated musical mainstream, could easily be released by a major label and find itself among the great albums in hip-hop. Not to say that the mainstream sets the standard for quality, but to say that this album could easily garner the attention of a majority of the hip-hop audience and catch fire. I know, I know… you’re saying to yourself… “you’re the guy who runs blocSonic and this album is being released here, so yeah, yeah… whatever dude… you’re just hyping it up because that’s what you do.” Maybe you’re right… though I think you might seriously find yourself singing the praises of this album after the first listen… and the next listen… and the next… DJ Def Chad’s <em>The Black Holocaust</em> is really, in my humble opinion… that GOOD.</p>
<p>From Chad’s experienced lyrical flow to C-Doc’s production and lyrical skill… top to bottom, this album was crafted with a high degree of care and attention to detail. On top of all that, you’ve got an impressive group of collaborators — <a href=""http://www.publicenemy.com""><strong>Chuck D</strong></a>, <a href=""http://www.blocsonic.com/artist/cm-aka-creative""><strong>CM aka Creative</strong></a>, <a href=""http://www.blocsonic.com/artist/the-impossebulls""><strong>Jamod Allah</strong></a>, <strong>Low Flow</strong>, <strong>Kamillion</strong>, <a href=""http://www.blocsonic.com/artist/the-impossebulls""><strong>Marcus J</strong></a>, <strong>Mock 3</strong>, <a href=""http://www.blocsonic.com/artist/the-scallions""><strong>Shawn Franklin</strong></a>, <a href=""http://www.blocsonic.com/artist/the-impossebulls""><strong>Tirade</strong></a>, <strong>Villian151</strong>, <strong>Dre’ Leez</strong> and of course Chad’s children <strong>Shanae</strong>, <strong>Nakia</strong>, and <strong>Jasmine</strong> who make their recording debut on one of the album’s standouts, “Cain”.</p>
<p>I could go on and on about what I like about it and which tracks stand out to me and why, but I’ll leave that to the reviewers among you. I’ll reiterate, though, that this album will make it’s place in your personal pantheon of great hip-hop albums. I don’t say that lightly. From beginning to end, this album is solid through and through. It’s a cohesive ALBUM, in every sense of the word. If you <em>are</em> a reviewer, I invite you to please help spread the word. We’ll let everyone know about your review and where they can read it.</p>
<p>Thanks to everyone involved in making this such a special release — DJ Def Chad, C-Doc and all the collaborators mentioned above. Thanks to C. Michael for the photos.</p>
<p>Of course, thanks once again to you for downloading & listening. We always strive to deliver the music you’ll love. Please spread the word about blocSonic, if you enjoy what we do. Remember… everything we release is cool to share! Always keep the music moving… share it… blog it… podcast it! If you’re in radio… support independent music and broadcast it!.</p>",19566,,[],The Black Holocaust,39,Album,,,,"<p><strong>DJ Def Chad</strong> was born and raised in Homewood, PA in the area known as the Hilltop. His brother <strong>Kenny</strong> introduced him to the turntables and he started DJ’ing in 1980, learning all he could from local DJ’s like <strong>DJ King T</strong> and <strong>DJ Kool Kel</strong>.</p>
<p>In the mid 80’s he met <strong>Tuffy Tuf</strong>, a local Emcee. Tuffy formed a crew with Chad and <strong>DJ Nick Nice</strong> splitting DJ duties and Chad’s cousin Sodda Pop Kid as hype man and dancer. They opened shows for groups like <strong>De La Soul</strong>, <strong>Eric B & Rakim</strong>, <strong>Shabba Ranks</strong>, and <strong>Fu-Schnickens</strong>. After recording the EP <em>Strictly 4 De Boomin System</em> that was released through local Pittsburgh label <strong>Unity Records</strong>, the group disbanded.</p>
<p>Chad formed his own company, <strong>TeePee Records</strong>, and started to produce and DJ for other artists. He eventually decided to try his own hand at rhyming and started working on songs with a new group, <strong>PGB (Poets Gettin By)</strong>. They recorded and independently released the album <em>Ice Burgh</em> in 2001.</p>
<p>Shortly thereafter he met <a href=""http://www.blocsonic.com/artist/cdoc""><strong>C-Doc</strong></a>, another local producer who invited Chad to join the world’s first virtual Rapp squad, <a href=""http://www.blocsonic.com/artist/the-impossebulls""><strong>The Impossebulls</strong></a>, as a DJ and an Emcee. Chad would also join C-Doc for a number of guest appearances on the 2012 album <em>Divided We Stand</em>, which then inspired Chad to begin work on his long overdue debut solo album, <em>The Black Holocaust</em>.</p>
<p>A potent mix of graphic storytelling and social consciousness, <em>The Black Holocaust</em> is an album that is a long time coming. It is the culmination of Def Chad’s life experiences and observations over a sample-rich sound bed of soul and funk that he likes to call ""Grown Folks Music."" It’s his contribution to Hip-Hop and a gift to the people, an album from the heart and soul of an aging B-Boy that will never slow down.</p>",1,2014-03-11 15:57:15,6,18156,,"Pittsburgh, Pennsylvania",,,DJ Def Chad,,['dj def chad'],http://www.blocsonic.com/artist/dj-def-chad,,training,small,320000,0,,2014-03-11 16:20:14,,231,2,Hip-Hop,[21],[21],,2661,,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,2576,,10,,[],The Remedy
100480,0,2014-02-28 21:04:26,2014-02-24 00:00:00,,1,16100,"<p><strong>Want high-resolution album art, liner-notes or lossless FLAC audio? <a href=""http://www.blocsonic.com/releases/show/hauphuchinliveiyam"">Check out the blocSonic release page</a>!</strong></p>
<p>To close out this month of LIVE HIP-HOP, <a href=""http://www.blocsonic.com/artist/lowdown""><strong>LOWdown</strong></a> brings it with the action packed LIVE EP called <em>“HAUPHUCHINLIVEIYAM”</em>. Recorded at Hkan in Pittsburgh, PA back in August of 2005, this live set is a fun piece of LOWdown history that’s sure to hold an honored spot in your LOWdown/Impossebulls music collection. If LOWdown are new to you, you should also check out <a href=""http://www.blocsonic.com/releases/show/dumptruck-xe"">“dumpTRUCK XE”</a>.</p>
<p>Thanks to LOWdown (Tirade, C-Doc & DJ Def Chad), HYMnEYE (Mported Flows & Grace One) and rest of The Impossebulls fam for a great month of live music!</p>
<p>Of course, thanks once again to you for downloading & listening. We always strive to deliver the music you’ll love. Please spread the word about blocSonic, if you enjoy what we do. Remember… everything we release is cool to share! Always keep the music moving… share it… blog it… podcast it! If you’re in radio… support independent music and broadcast it!.</p>",11263,,[],HAUPHUCHINLIVEIYAM,42,Album,,,,"<p>Long time comrades Tirade & C-Doc have been creating music and video works for many years. In 1994 they put a name to these curiosities and LOWdown was born. In 2006 they released their debut album on the SLAMjamz label: “groundZERO”. groundZERO is a CD/DVD experience that attempts to recapture the breakbeat, bass-heavy Hip-Hop of the early 1990’s mixed with the duo's trademark off-kilter humor. They followed the album up with the “dumpTRUCK EP”.</p>",0,2012-05-04 08:21:41,2,13450,40.438335,"Pittsburgh, Pennsylvania",-79.997459,"Tirade
C-Doc",LOWdown,,['lowdown'],http://impossebulls.blogspot.com/,,training,small,320000,0,,2014-03-02 14:20:18,,281,1,Hip-Hop,[21],[21],,3472,,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,3136,,41,,[],Lyrikil Tranzportashun
100975,0,2014-03-12 09:18:29,2014-03-12 00:00:00,,4,16144,"<p>Dubstep / neurostep EP by Portuguese project <a href=""http://dyman-music.tumblr.com/"">Dyman</a>.</p>",67079,,[],Infection,5,Album,,,,,0,2012-07-15 08:41:24,12,14048,41.14945,"Porto, Portugal",-8.610314,,Dyman,,['dyman'],http://dyman-music.tumblr.com/,,training,small,320000,0,,2014-03-12 09:16:47,,177,13,Electronic,"[15, 468]","[468, 15]",,18201,,Attribution-NonCommercial-ShareAlike 3.0 International,15851,,4,,[],Sewage
100536,1,2014-03-04 17:50:33,2014-02-17 00:00:00,,1,16112,"<p>On <em>Mono Box</em> Ep, Small Colin turned off the sequencing and recorded all music live. Also a monophonic synthesizer from France was involved in the production of the songs on Mono Box. The music touches the genres Indietronica, Shoegazer, Downtempo and Dreampop.</p>
<blockquote>
<p>""When I was writing the music, all the synth and drum sounds were recorded live with no midi sequencing.  So I decided to record more guitars than usual to continue on with that “live” route.  I was also listening to more alternative rock/ indie type music at that time so that influenced me a lot."" (Small Colin, 2014)</p>
</blockquote>",20602,,[],Mono Box,6,Album,,,,<p>Colin Sweeney aka. Small Colin is one part of Scottish duo Small Radio.</p>,2,2012-01-16 21:35:26,41,12787,,,,Colin Sweeney,Small Colin,,['small colin'],http://smallcolin.com,,training,small,313767,0,,2014-03-04 17:46:12,,296,13,Electronic,[15],[15],,4827,,Attribution-ShareAlike,4228,,6,,[],Mono Crash
100949,3,2014-03-11 15:58:48,2014-03-11 00:00:00,,1,16141,"<p><strong>Want high-resolution album art, liner-notes or lossless FLAC audio? <a href=""http://www.blocsonic.com/releases/show/the-black-holocaust"">Check out the blocSonic release page</a>!</strong></p>
<p>Ladies and gentlemen, I’d like to present to you <em>The Black Holocaust</em>, the incredible debut album by Pittsburgh artist, <a href=""http://www.blocsonic.com/artist/dj-def-chad""><strong>DJ Def Chad</strong></a>.</p>
<p>This may be DJ Def Chad’s debut album, however he’s not new to this hip-hop thing. He began his musical journey back in Homewood, PA and released music as part of groups along the way. In the mid-80’s he joined up with <strong>Tuffy Tuf</strong> and split DJ duties with <strong>DJ Nick Nice</strong>. They toured, opened for the likes of <strong>De La Soul</strong>, <strong>Eric B & Rakim</strong>, <strong>Shabba Ranks</strong> & <strong>Fu-Schnickens</strong> and eventually released an EP called <em>Strictly 4 De Boomin System</em> through Pittsburgh label <strong>Unity Records</strong>. They disbanded shortly thereafter.</p>
<p>Later, Chad formed his company <strong>TeePee Records</strong> and eventually started a group with him trying his hand at rhyming, <strong>PGB (Poets Gettin By)</strong>. In 2001 they independently released <em>Ice Burgh</em>. That led to him meeting <a href=""http://www.blocsonic.com/artist/cdoc""><strong>C-Doc</strong></a> who invited him to join <a href=""http://www.blocsonic.com/artist/the-impossebulls""><strong>The Impossebulls</strong></a>, the <em>world’s first virtual rapp squad</em>, who you’ve gotten to know here at <strong>blocSonic</strong>.</p>
<p>After guest appearances on C-Doc’s <em>Divided We Stand</em> he was inspired to use his life experiences to bring you his own brand of hip-hop… or “Grown Folks Music”. A gift to you and anyone who cares to listen from an aging B-Boy that will never slow down.</p>
<p>It’s a pleasure for me to bring to you an album that, in a less artificially manipulated musical mainstream, could easily be released by a major label and find itself among the great albums in hip-hop. Not to say that the mainstream sets the standard for quality, but to say that this album could easily garner the attention of a majority of the hip-hop audience and catch fire. I know, I know… you’re saying to yourself… “you’re the guy who runs blocSonic and this album is being released here, so yeah, yeah… whatever dude… you’re just hyping it up because that’s what you do.” Maybe you’re right… though I think you might seriously find yourself singing the praises of this album after the first listen… and the next listen… and the next… DJ Def Chad’s <em>The Black Holocaust</em> is really, in my humble opinion… that GOOD.</p>
<p>From Chad’s experienced lyrical flow to C-Doc’s production and lyrical skill… top to bottom, this album was crafted with a high degree of care and attention to detail. On top of all that, you’ve got an impressive group of collaborators — <a href=""http://www.publicenemy.com""><strong>Chuck D</strong></a>, <a href=""http://www.blocsonic.com/artist/cm-aka-creative""><strong>CM aka Creative</strong></a>, <a href=""http://www.blocsonic.com/artist/the-impossebulls""><strong>Jamod Allah</strong></a>, <strong>Low Flow</strong>, <strong>Kamillion</strong>, <a href=""http://www.blocsonic.com/artist/the-impossebulls""><strong>Marcus J</strong></a>, <strong>Mock 3</strong>, <a href=""http://www.blocsonic.com/artist/the-scallions""><strong>Shawn Franklin</strong></a>, <a href=""http://www.blocsonic.com/artist/the-impossebulls""><strong>Tirade</strong></a>, <strong>Villian151</strong>, <strong>Dre’ Leez</strong> and of course Chad’s children <strong>Shanae</strong>, <strong>Nakia</strong>, and <strong>Jasmine</strong> who make their recording debut on one of the album’s standouts, “Cain”.</p>
<p>I could go on and on about what I like about it and which tracks stand out to me and why, but I’ll leave that to the reviewers among you. I’ll reiterate, though, that this album will make it’s place in your personal pantheon of great hip-hop albums. I don’t say that lightly. From beginning to end, this album is solid through and through. It’s a cohesive ALBUM, in every sense of the word. If you <em>are</em> a reviewer, I invite you to please help spread the word. We’ll let everyone know about your review and where they can read it.</p>
<p>Thanks to everyone involved in making this such a special release — DJ Def Chad, C-Doc and all the collaborators mentioned above. Thanks to C. Michael for the photos.</p>
<p>Of course, thanks once again to you for downloading & listening. We always strive to deliver the music you’ll love. Please spread the word about blocSonic, if you enjoy what we do. Remember… everything we release is cool to share! Always keep the music moving… share it… blog it… podcast it! If you’re in radio… support independent music and broadcast it!.</p>",19566,,[],The Black Holocaust,39,Album,,,,"<p><strong>DJ Def Chad</strong> was born and raised in Homewood, PA in the area known as the Hilltop. His brother <strong>Kenny</strong> introduced him to the turntables and he started DJ’ing in 1980, learning all he could from local DJ’s like <strong>DJ King T</strong> and <strong>DJ Kool Kel</strong>.</p>
<p>In the mid 80’s he met <strong>Tuffy Tuf</strong>, a local Emcee. Tuffy formed a crew with Chad and <strong>DJ Nick Nice</strong> splitting DJ duties and Chad’s cousin Sodda Pop Kid as hype man and dancer. They opened shows for groups like <strong>De La Soul</strong>, <strong>Eric B & Rakim</strong>, <strong>Shabba Ranks</strong>, and <strong>Fu-Schnickens</strong>. After recording the EP <em>Strictly 4 De Boomin System</em> that was released through local Pittsburgh label <strong>Unity Records</strong>, the group disbanded.</p>
<p>Chad formed his own company, <strong>TeePee Records</strong>, and started to produce and DJ for other artists. He eventually decided to try his own hand at rhyming and started working on songs with a new group, <strong>PGB (Poets Gettin By)</strong>. They recorded and independently released the album <em>Ice Burgh</em> in 2001.</p>
<p>Shortly thereafter he met <a href=""http://www.blocsonic.com/artist/cdoc""><strong>C-Doc</strong></a>, another local producer who invited Chad to join the world’s first virtual Rapp squad, <a href=""http://www.blocsonic.com/artist/the-impossebulls""><strong>The Impossebulls</strong></a>, as a DJ and an Emcee. Chad would also join C-Doc for a number of guest appearances on the 2012 album <em>Divided We Stand</em>, which then inspired Chad to begin work on his long overdue debut solo album, <em>The Black Holocaust</em>.</p>
<p>A potent mix of graphic storytelling and social consciousness, <em>The Black Holocaust</em> is an album that is a long time coming. It is the culmination of Def Chad’s life experiences and observations over a sample-rich sound bed of soul and funk that he likes to call ""Grown Folks Music."" It’s his contribution to Hip-Hop and a gift to the people, an album from the heart and soul of an aging B-Boy that will never slow down.</p>",1,2014-03-11 15:57:15,6,18156,,"Pittsburgh, Pennsylvania",,,DJ Def Chad,,['dj def chad'],http://www.blocsonic.com/artist/dj-def-chad,,training,small,320000,0,,2014-03-11 16:13:37,,226,2,Hip-Hop,[21],[21],,1531,,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,1445,,5,,[],The Rebel Youth
100522,0,2014-03-04 06:28:41,2014-03-04 00:00:00,,2,16106,<p>Атмосфера наступающей весны.<br /><br />Music by Sergey Ermilov<br />Cover by  Sergey Ermilov</p>,11100,,[],Catch The Sun,1,Album,,,,"<p>Rhanee is a one man band,which was created by studio worker Serge Ermilov in 2013.<br />The aim of the project are various experiments with styles of electronic and live music, mostly guitar.</p>",1,2014-03-04 06:27:08,1,18136,,"Russia, Kemerovo",,Sergey Ermilov,Rhanee,,"['dnb', 'intelligent', 'rhanee']",https://rndml.bandcamp.com/,,validation,small,192000,0,,2014-03-04 06:34:09,,206,17,Electronic,"[15, 337]","[337, 15]",,14685,,Attribution-NonCommercial-ShareAlike,11108,,1,,[],Catch The Sun
